Feature,Importance
Segment_Encoded,0.42753134178375934
ActiveDays,0.07323053835438552
ActiveMonths,0.06571146710436666
Frequency,0.05671151622252098
TotalRevenue,0.042507967755302564
TotalOrders,0.03865213494208815
TotalQuantity,0.033625817872102504
Monetary,0.02738029993408168
MinPrice,0.023373226411512855
UniqueProducts,0.019445646040729396
UniqueDescriptions,0.018828708738284648
OrdersPerMonth,0.01788648080876242
StdHour,0.01645991833552069
MinRevenue,0.011235654299437764
AvgItemsPerOrder,0.010846410670481204
AvgOrderValue,0.010694054711818723
AvgPrice,0.010156867667933974
StdQuantity,0.009190267414624784
MaxRevenue,0.00918449640162489
StdRevenue,0.00880904413416448
AvgRevenue,0.008756836238959976
AvgQuantity,0.008539139012230615
PriceRange,0.008446283131867632
AvgHour,0.008433229050470758
ProductDiversity,0.00806611275899596
StdPrice,0.007705862675876358
RevenueRange,0.007655453926959
MaxPrice,0.00558044077977518
PreferredDay,0.0036780216353126957
Country_Encoded,0.0016767611860486488
