CustomerID,Segment,Churn_Probability,Monetary,Frequency,TotalRevenue
17518,Hibernating,0.99580353,329.42,2,329.42
18049,Hibernating,0.9956279,500.92,2,500.92
15418,Hibernating,0.9950517,449.42,2,449.42
14877,Hibernating,0.99497694,425.85,2,425.85
14398,Hibernating,0.9947813,707.79,2,707.79
15700,Hibernating,0.99456894,696.68,2,696.68
14647,Hibernating,0.99440926,506.04,2,506.04
13616,Hibernating,0.99429286,283.85,2,283.85
18137,Hibernating,0.9942011,145.99,2,145.99
17601,Hibernating,0.9940759,413.08,2,413.08
14070,Hibernating,0.99402136,321.6,1,321.6
14791,Hibernating,0.9939452,303.63,1,303.63
14082,Hibernating,0.9938916,413.36,2,413.36
16765,Hibernating,0.9938537,454.75,2,454.75
13581,Hibernating,0.9938531,280.53000000000003,2,280.53000000000003
17810,Hibernating,0.9938274,373.16,2,373.16
14986,Hibernating,0.99376535,563.1,2,563.1
15982,Hibernating,0.9937249,324.51,1,324.51
14972,Hibernating,0.9937064,145.07,2,145.07
16382,Hibernating,0.9936021,353.1,2,353.1
13432,Hibernating,0.993548,439.1,2,439.1
14433,Hibernating,0.993435,280.7,1,280.7
12889,Hibernating,0.99336374,385.46,4,385.46000000000004
13646,Hibernating,0.99319965,326.25,2,326.25
15055,Hibernating,0.99313354,549.12,3,549.12
17991,Hibernating,0.99306184,300.3,3,300.3
15362,Hibernating,0.99303085,613.08,2,613.08
16246,Hibernating,0.99279577,821.35,2,821.35
15959,Hibernating,0.9927769,542.89,3,542.89
14722,Hibernating,0.9927666,489.52,3,489.52
17375,Hibernating,0.9926596,660.55,4,660.55
15454,Hibernating,0.99256694,305.99,2,305.99
17845,Hibernating,0.9925625,596.09,4,596.09
16799,Hibernating,0.9925568,452.78,2,452.78000000000003
18134,Hibernating,0.9925109,445.0,2,445.0
12804,Hibernating,0.99247414,325.37,2,325.37
13998,Hibernating,0.9924729,566.7,3,566.7
14990,Hibernating,0.9924021,304.17,2,304.17
17070,Hibernating,0.9923535,437.42,2,437.42
16972,Hibernating,0.9923471,749.0,2,749.0
17209,Hibernating,0.99233866,595.7,3,595.7
16402,Hibernating,0.9923195,293.45,2,293.45
14892,Hibernating,0.99229103,202.35,1,202.35000000000002
13997,Hibernating,0.99213725,376.46,3,376.46
17699,Hibernating,0.9921142,442.0,2,442.0
17229,Hibernating,0.99203545,318.76,2,318.76
13286,Hibernating,0.99201584,734.91,1,734.91
16815,Hibernating,0.9920122,406.02,2,406.02
16502,Hibernating,0.99189574,258.55,2,258.55
12376,Hibernating,0.9917977,503.15,2,503.15
17807,Hibernating,0.9917862,437.87,3,437.87
17773,Hibernating,0.9917807,575.37,2,575.37
14181,Hibernating,0.9917527,308.35,2,308.35
