CustomerID,Segment,Churn_Probability,Risk_Category,Monetary,Frequency
12346,Champions,0.18856376,Low Risk,77556.46,12
12347,Champions,0.023719674,Low Risk,4921.53,8
12348,Hibernating,0.62683904,High Risk,2019.4,5
12349,New Customers,0.005887381,Low Risk,4428.6900000000005,4
12350,Hibernating,0.9503416,High Risk,334.40000000000003,1
12351,Hibernating,0.9659325,High Risk,300.93,1
12352,Champions,0.055980746,Low Risk,2849.84,10
12353,Hibernating,0.95788926,High Risk,406.76,2
12354,Hibernating,0.9680136,High Risk,1079.4,1
12355,Hibernating,0.93808484,High Risk,947.61,2
12356,Champions,0.020658573,Low Risk,6371.7300000000005,6
12357,Champions,0.019505747,Low Risk,18287.66,3
12358,Champions,0.0038754258,Low Risk,3887.07,5
12359,Champions,0.0031442705,Low Risk,8873.39,10
12360,Champions,0.012653994,Low Risk,4252.89,8
12361,Hibernating,0.91378,High Risk,511.25,4
12362,Champions,0.002797493,Low Risk,5356.2300000000005,11
12363,Hibernating,0.9847703,High Risk,552.0,2
12364,New Customers,0.008564139,Low Risk,1313.1,4
12365,Hibernating,0.970831,High Risk,641.38,2
12366,Hibernating,0.96177775,High Risk,500.24,1
12367,New Customers,0.006281503,Low Risk,168.9,1
12368,Hibernating,0.97586095,High Risk,917.7,1
12369,Hibernating,0.8507748,High Risk,1791.15,3
12370,Champions,0.011857338,Low Risk,4316.56,7
12371,Hibernating,0.097002104,Low Risk,4067.38,5
12372,Hibernating,0.648722,High Risk,1298.04,3
12373,Hibernating,0.8652821,High Risk,1127.65,3
12374,New Customers,0.0104069,Low Risk,2989.2200000000003,4
12375,New Customers,0.041325018,Low Risk,457.5,2
12376,Hibernating,0.9917977,High Risk,503.15,2
12377,Hibernating,0.83705133,High Risk,3426.32,4
12378,Hibernating,0.86808246,High Risk,5416.32,2
12379,Hibernating,0.6177386,High Risk,1620.22,4
12380,Champions,0.05223657,Low Risk,9676.3,11
12381,New Customers,0.006365148,Low Risk,1845.31,5
12383,Hibernating,0.7335478,High Risk,1850.56,5
12384,New Customers,0.053505786,Low Risk,585.27,2
12385,Hibernating,0.9412702,High Risk,1938.4,1
12386,Hibernating,0.9805563,High Risk,401.9,2
12387,Hibernating,0.7825154,High Risk,143.94,1
12388,Champions,0.008258055,Low Risk,3901.11,8
12389,Hibernating,0.85988456,High Risk,1433.33,3
12390,Hibernating,0.7787838,High Risk,549.84,1
12391,Champions,0.010936982,Low Risk,2724.84,6
12392,Hibernating,0.83280396,High Risk,234.75000000000003,1
12393,Hibernating,0.33283964,Medium Risk,2399.45,6
12394,New Customers,0.01584699,Low Risk,1272.48,2
12395,Champions,0.029298397,Low Risk,4721.17,15
12396,Hibernating,0.9651057,High Risk,931.43,1
12397,New Customers,0.005354408,Low Risk,2409.9,2
12398,New Customers,0.006709765,Low Risk,1635.66,1
12399,Hibernating,0.6689654,High Risk,1962.3,7
12400,Hibernating,0.8361918,High Risk,205.25,1
12401,Hibernating,0.97764707,High Risk,84.3,1
12402,Hibernating,0.78777844,High Risk,1256.9,6
12403,New Customers,0.037056696,Low Risk,1019.36,2
12404,Hibernating,0.98219484,High Risk,63.24,1
12405,Hibernating,0.95313156,High Risk,1710.39,1
12406,Champions,0.0014310571,Low Risk,6390.36,5
12407,Hibernating,0.28746507,Low Risk,1708.12,5
12408,Champions,0.010570403,Low Risk,4340.77,8
12409,Champions,0.020211397,Low Risk,23419.29,7
12410,Hibernating,0.9738056,High Risk,1013.71,3
12411,Hibernating,0.9766976,High Risk,346.9,1
12412,Hibernating,0.49110374,Medium Risk,2596.93,6
12413,Hibernating,0.9579595,High Risk,999.45,4
12414,Hibernating,0.94906145,High Risk,952.41,6
12415,Champions,0.2641713,Low Risk,144458.37,28
12416,Hibernating,0.90326184,High Risk,202.56,1
12417,Champions,0.002056246,Low Risk,6797.41,20
12418,Hibernating,0.6712172,High Risk,2021.2,4
12419,Hibernating,0.94556123,High Risk,503.01,2
12420,New Customers,0.027894486,Low Risk,600.39,1
12421,New Customers,0.0021885035,Low Risk,1098.6,6
12422,Champions,0.66185254,High Risk,5231.8,17
12423,Champions,0.007134316,Low Risk,2622.39,10
12424,Hibernating,0.56369245,Medium Risk,3340.03,4
12425,Hibernating,0.31706378,Medium Risk,1741.41,2
12426,Hibernating,0.85473704,High Risk,1345.21,2
12427,New Customers,0.0097232945,Low Risk,825.8000000000001,3
12428,Champions,0.018282635,Low Risk,7956.46,9
12429,Champions,0.024122534,Low Risk,6204.41,8
12430,New Customers,0.0099069,Low Risk,256.4,1
12431,Champions,0.0023682693,Low Risk,10432.22,27
12432,Hibernating,0.47213045,Medium Risk,5059.32,5
12433,Champions,0.03372938,Low Risk,16794.14,10
12434,Hibernating,0.40360102,Medium Risk,1103.43,3
12435,Champions,0.0024936337,Low Risk,13925.93,6
12436,Hibernating,0.976442,High Risk,509.01,1
12437,Champions,0.0020377066,Low Risk,12683.4,39
12438,New Customers,0.011075142,Low Risk,2906.85,2
12439,Hibernating,0.9003417,High Risk,1142.88,2
12440,Hibernating,0.96948695,High Risk,859.2,2
12441,Hibernating,0.93155366,High Risk,173.55,1
12442,New Customers,0.00069370295,Low Risk,172.06,1
12443,Hibernating,0.9635252,High Risk,485.31,1
12444,Champions,0.024831843,Low Risk,5005.46,5
12445,New Customers,0.0074300924,Low Risk,434.98,2
12446,New Customers,0.0103033045,Low Risk,1002.31,1
12447,Hibernating,0.95631754,High Risk,476.49,1
12448,New Customers,0.0041773096,Low Risk,449.45,1
12449,Champions,0.02109495,Low Risk,4835.89,6
12450,Hibernating,0.9609554,High Risk,688.2,5
12451,Champions,0.03313175,Low Risk,12669.88,8
12452,New Customers,0.015922857,Low Risk,430.5700000000001,2
12453,Hibernating,0.96084356,High Risk,707.09,1
12454,Champions,0.090132035,Low Risk,16679.78,5
12455,Champions,0.002133317,Low Risk,5879.95,10
12456,Hibernating,0.42473027,Medium Risk,3181.04,3
12457,Hibernating,0.8183307,High Risk,2995.91,8
12458,Hibernating,0.40849254,Medium Risk,1777.49,4
12459,Hibernating,0.9384089,High Risk,454.36,1
12460,Hibernating,0.9463578,High Risk,326.65,1
12461,Hibernating,0.97265214,High Risk,826.88,2
12462,New Customers,0.007906506,Low Risk,1189.59,2
12463,Hibernating,0.2304275,Low Risk,1344.78,4
12464,New Customers,0.019478606,Low Risk,1212.05,8
12465,New Customers,0.0034960483,Low Risk,742.19,2
12466,Hibernating,0.98219484,High Risk,56.73,1
12467,Hibernating,0.9281948,High Risk,132.8,1
12468,Hibernating,0.83107185,High Risk,3670.74,5
12469,Hibernating,0.9599362,High Risk,3070.54,2
12470,Hibernating,0.98676074,High Risk,211.95,1
12471,Champions,0.0018904471,Low Risk,39918.19,79
12472,Champions,0.001412341,Low Risk,16249.29,19
12473,Champions,0.009054529,Low Risk,3928.05,5
12474,Champions,0.0011898035,Low Risk,12372.75,31
12475,New Customers,0.008609453,Low Risk,1149.64,2
12476,Champions,0.35540426,Medium Risk,14083.91,23
12477,Champions,0.039965518,Low Risk,20276.37,9
12478,New Customers,0.056853455,Low Risk,680.99,1
12479,New Customers,0.0055243555,Low Risk,527.2,1
12480,Champions,0.008804003,Low Risk,5464.85,7
12481,Champions,0.166056,Low Risk,12185.51,15
12482,Champions,0.83266294,High Risk,23691.4,29
12483,Champions,0.0022125398,Low Risk,5097.18,19
12484,Champions,0.0027898864,Low Risk,6354.1,12
12485,Hibernating,0.9732711,High Risk,708.1,1
12486,Hibernating,0.9779373,High Risk,1037.28,1
12487,Hibernating,0.95657086,High Risk,285.3,1
12488,New Customers,0.004390479,Low Risk,1298.66,3
12489,Hibernating,0.8777142,High Risk,334.93,1
12490,Champions,0.0013640319,Low Risk,9823.64,21
12491,New Customers,0.01606641,Low Risk,460.4,1
12492,New Customers,0.0055778143,Low Risk,715.21,3
12493,Hibernating,0.96237147,High Risk,433.74,2
12494,Champions,0.007739763,Low Risk,1815.27,9
12495,Hibernating,0.96372706,High Risk,357.4,1
12496,Hibernating,0.8985897,High Risk,45.34,2
12497,Hibernating,0.30279696,Medium Risk,6248.5,3
12498,New Customers,0.0059599415,Low Risk,403.7000000000001,3
12499,Hibernating,0.9427576,High Risk,393.72,1
12500,Champions,0.003921948,Low Risk,5955.21,19
12501,Hibernating,0.8746103,High Risk,2169.39,1
12502,Hibernating,0.8986302,High Risk,3723.87,5
12503,Hibernating,0.92957157,High Risk,1126.0,1
12504,New Customers,0.0026824153,Low Risk,779.05,4
12505,Hibernating,0.98761976,High Risk,955.2,1
12506,Hibernating,0.84247255,High Risk,73.5,1
12507,Hibernating,0.9319864,High Risk,1844.06,4
12508,New Customers,0.009988968,Low Risk,397.88,2
12509,Hibernating,0.83557326,High Risk,176.5,1
12510,Hibernating,0.89218545,High Risk,5178.02,9
