CustomerID,TotalRevenue,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,Tenure,AvgOrderValue
12346,77556.46,12,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,400,6463.038333333334
12347,4921.53,8,2967,2010-10-31 14:20:00,2011-12-07 15:52:00,402,615.19125
12348,2019.3999999999999,5,2714,2010-09-27 14:59:00,2011-09-25 13:13:00,362,403.88
12349,4428.6900000000005,4,1624,2010-04-29 13:20:00,2011-11-21 09:51:00,570,1107.1725000000001
12350,334.40000000000003,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.40000000000003
12351,300.93,1,261,2010-11-29 15:23:00,2010-11-29 15:23:00,0,300.93
12352,2849.84,10,724,2010-11-12 10:20:00,2011-11-03 14:37:00,356,284.98400000000004
12353,406.76,2,212,2010-10-27 12:44:00,2011-05-19 17:47:00,204,203.38
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4
12355,947.61,2,543,2010-05-21 11:59:00,2011-05-09 13:49:00,353,473.805
12356,6371.7300000000005,6,3416,2010-10-11 09:42:00,2011-11-17 08:40:00,401,1061.9550000000002
12357,18287.66,3,6587,2010-11-16 10:05:00,2011-11-06 16:07:00,355,6095.886666666666
12358,3887.07,5,1079,2009-12-08 07:59:00,2011-12-08 10:26:00,730,777.414
12359,8873.39,10,2739,2009-12-05 13:32:00,2011-10-13 12:47:00,676,887.3389999999999
12360,4252.89,8,2459,2010-02-22 09:32:00,2011-10-18 15:22:00,603,531.61125
12361,511.25,4,235,2010-01-26 14:37:00,2011-02-25 13:51:00,394,127.8125
12362,5356.2300000000005,11,2230,2009-12-01 10:10:00,2011-12-06 15:40:00,735,486.93000000000006
12363,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0
12364,1313.1,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.275
12365,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69
12366,500.24,1,296,2010-03-16 10:28:00,2010-03-16 10:28:00,0,500.24
12367,168.9,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,0,168.9
12368,917.7,1,330,2010-03-21 15:56:00,2010-03-21 15:56:00,0,917.7
12369,1791.15,3,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,228,597.0500000000001
12370,4316.56,7,2604,2010-02-09 09:41:00,2011-10-19 14:51:00,617,616.6514285714286
12371,4067.38,5,1436,2010-03-04 18:23:00,2011-10-26 10:16:00,600,813.476
12372,1298.04,3,794,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68
12373,1127.65,3,516,2010-02-04 12:08:00,2011-02-01 13:10:00,362,375.8833333333334
12374,2989.2200000000003,4,1362,2010-04-30 14:01:00,2011-11-14 15:37:00,563,747.3050000000001
12375,457.5,2,178,2011-09-02 14:23:00,2011-11-29 10:36:00,87,228.75
12376,503.15,2,240,2010-10-18 08:42:00,2010-11-15 12:15:00,28,251.575
12377,3426.32,4,2105,2010-04-29 15:34:00,2011-01-28 15:45:00,274,856.58
12378,5416.32,2,3316,2010-05-26 14:07:00,2011-08-02 10:34:00,432,2708.16
12379,1620.22,4,815,2010-06-23 12:49:00,2011-09-19 10:09:00,452,405.055
12380,9676.300000000001,11,3355,2010-02-15 12:05:00,2011-11-18 11:27:00,640,879.6636363636364
12381,1845.31,5,808,2011-08-12 09:57:00,2011-12-05 12:44:00,115,369.062
12383,1850.56,5,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,167,370.11199999999997
12384,585.27,2,126,2011-08-10 11:23:00,2011-11-11 08:39:00,92,292.635
12385,1938.4,1,612,2010-11-25 15:14:00,2010-11-25 15:14:00,0,1938.4
12386,401.9,2,354,2010-12-08 09:53:00,2011-01-06 12:37:00,29,200.95
12387,143.94,1,134,2010-10-20 16:27:00,2010-10-20 16:27:00,0,143.94
12388,3901.11,8,2001,2010-05-06 12:54:00,2011-11-24 12:30:00,566,487.63875
12389,1433.33,3,614,2010-02-22 10:15:00,2010-11-02 11:52:00,253,477.77666666666664
12390,549.84,1,353,2011-09-21 09:33:00,2011-09-21 09:33:00,0,549.84
12391,2724.84,6,1204,2010-02-15 10:12:00,2011-11-18 12:07:00,641,454.14000000000004
12392,234.75000000000003,1,73,2010-04-27 14:04:00,2010-04-27 14:04:00,0,234.75000000000003
12393,2399.45,6,1311,2010-10-07 13:49:00,2011-09-28 15:41:00,356,399.9083333333333
12394,1272.48,2,819,2011-05-06 14:01:00,2011-10-07 08:08:00,153,636.24
12395,4721.17,15,3205,2010-04-16 10:16:00,2011-11-20 15:21:00,583,314.74466666666666
12396,931.4300000000001,1,591,2010-02-03 13:22:00,2010-02-03 13:22:00,0,931.4300000000001
12397,2409.9,2,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,99,1204.95
12398,1635.6599999999999,1,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1635.6599999999999
12399,1962.3,7,2198,2010-03-05 08:45:00,2011-08-12 13:15:00,525,280.3285714285714
12400,205.25,1,91,2010-10-21 13:45:00,2010-10-21 13:45:00,0,205.25
12401,84.3,1,11,2011-02-09 13:50:00,2011-02-09 13:50:00,0,84.3
12402,1256.9,6,584,2010-02-07 12:41:00,2011-01-20 13:49:00,347,209.48333333333335
12403,1019.36,2,260,2010-07-06 11:39:00,2011-10-21 10:51:00,471,509.68
12404,63.24,1,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0,63.24
12405,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1710.39
12406,6390.36,5,3416,2010-01-11 14:04:00,2011-11-17 19:22:00,675,1278.072
12407,1708.12,5,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,214,341.62399999999997
12408,4340.77,8,2229,2010-07-29 13:27:00,2011-11-07 12:27:00,465,542.59625
12409,23419.29,7,13143,2010-05-23 15:21:00,2011-09-22 10:38:00,486,3345.612857142857
12410,1013.71,3,341,2010-07-25 13:26:00,2011-02-04 10:39:00,193,337.90333333333336
12411,346.9,1,138,2010-10-26 09:25:00,2010-10-26 09:25:00,0,346.9
12412,2596.93,6,1997,2010-06-18 13:22:00,2011-09-26 10:16:00,464,432.82166666666666
12413,999.45,4,319,2010-11-02 13:26:00,2011-10-04 09:00:00,335,249.8625
12414,952.4100000000001,6,495,2010-09-02 12:22:00,2011-05-06 14:51:00,246,158.735
12415,144458.37,28,91447,2010-06-30 08:30:00,2011-11-15 14:22:00,503,5159.2275
12416,202.56,1,132,2010-02-21 10:19:00,2010-02-21 10:19:00,0,202.56
12417,6797.41,20,2884,2009-12-06 10:30:00,2011-12-06 14:52:00,730,339.8705
12418,2021.2,4,1088,2010-03-19 14:47:00,2011-08-19 11:08:00,517,505.3
12419,503.01,2,231,2010-10-22 10:40:00,2010-11-19 10:04:00,27,251.505
12420,600.39,1,345,2011-10-07 08:55:00,2011-10-07 08:55:00,0,600.39
12421,1098.6,6,652,2010-07-22 13:57:00,2011-11-24 09:07:00,489,183.1
12422,5231.8,17,2596,2009-12-18 12:44:00,2011-09-05 09:48:00,625,307.7529411764706
12423,2622.39,10,1793,2010-08-31 09:31:00,2011-12-09 10:10:00,465,262.239
12424,3340.0299999999997,4,2025,2010-06-09 15:15:00,2011-06-30 12:06:00,385,835.0074999999999
12425,1741.41,2,1147,2010-09-17 14:10:00,2011-09-22 17:31:00,370,870.705
12426,1345.21,2,584,2010-02-15 08:41:00,2011-05-29 12:26:00,468,672.605
12427,825.8000000000001,3,533,2010-12-03 10:44:00,2011-11-18 08:56:00,349,275.2666666666667
12428,7956.46,9,3536,2011-03-01 09:33:00,2011-11-14 08:22:00,257,884.0511111111111
12429,6204.41,8,2890,2010-06-11 13:28:00,2011-11-30 17:22:00,537,775.55125
12430,256.4,1,117,2011-10-27 15:09:00,2011-10-27 15:09:00,0,256.4
12431,10432.220000000001,27,4600,2010-01-15 09:04:00,2011-11-04 11:55:00,658,386.37851851851855
12432,5059.32,5,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,129,1011.8639999999999
12433,16794.14,10,13534,2010-08-20 09:23:00,2011-12-09 10:02:00,476,1679.414
12434,1103.43,3,532,2010-11-23 13:38:00,2011-09-16 12:38:00,296,367.81
12435,13925.93,6,4958,2009-12-02 13:58:00,2011-09-21 09:06:00,657,2320.9883333333332
12436,509.01,1,211,2011-09-01 12:09:00,2011-09-01 12:09:00,0,509.01
12437,12683.4,39,8000,2009-12-02 16:24:00,2011-12-08 11:35:00,735,325.2153846153846
12438,2906.85,2,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,125,1453.425
12439,1142.88,2,478,2009-12-14 08:40:00,2010-01-26 12:11:00,43,571.44
12440,859.2,2,331,2009-12-22 12:03:00,2010-09-03 13:11:00,255,429.6
12441,173.55,1,121,2010-12-08 10:45:00,2010-12-08 10:45:00,0,173.55
12442,172.06,1,182,2011-12-06 14:22:00,2011-12-06 14:22:00,0,172.06
12443,485.31,1,182,2009-12-07 15:42:00,2009-12-07 15:42:00,0,485.31
12444,5005.46,5,1153,2011-06-21 14:00:00,2011-11-18 13:23:00,149,1001.092
12445,434.98,2,206,2010-10-15 12:28:00,2011-11-17 18:43:00,398,217.49
12446,1002.3100000000001,1,351,2011-10-13 12:50:00,2011-10-13 12:50:00,0,1002.3100000000001
12447,476.49,1,190,2011-04-10 13:25:00,2011-04-10 13:25:00,0,476.49
12448,449.45,1,243,2011-10-26 13:46:00,2011-10-26 13:46:00,0,449.45
12449,4835.89,6,2282,2010-09-27 09:37:00,2011-11-17 13:46:00,416,805.9816666666667
12450,688.2,5,442,2010-08-22 13:11:00,2011-07-06 14:41:00,318,137.64000000000001
12451,12669.88,8,9359,2010-06-28 12:58:00,2011-11-29 08:40:00,518,1583.735
12452,430.57000000000005,2,185,2011-11-23 08:05:00,2011-11-23 10:28:00,0,215.28500000000003
12453,707.09,1,473,2011-07-28 14:08:00,2011-07-28 14:08:00,0,707.09
12454,16679.78,5,7703,2010-10-14 17:33:00,2011-10-14 17:13:00,364,3335.9559999999997
12455,5879.95,10,3302,2009-12-18 12:33:00,2011-09-27 15:31:00,648,587.995
12456,3181.04,3,1633,2011-03-30 09:12:00,2011-10-26 14:41:00,210,1060.3466666666666
12457,2995.91,8,1094,2010-09-30 17:59:00,2011-10-04 13:13:00,368,374.48875
12458,1777.49,4,986,2010-08-09 10:33:00,2011-09-29 15:25:00,416,444.3725
12459,454.36,1,258,2010-04-13 14:53:00,2010-04-13 14:53:00,0,454.36
12460,326.65,1,170,2010-09-09 13:51:00,2010-09-09 13:51:00,0,326.65
12461,826.88,2,287,2011-07-08 10:23:00,2011-09-06 16:57:00,60,413.44
12462,1189.59,2,536,2011-02-09 14:44:00,2011-11-21 09:11:00,284,594.795
12463,1344.78,4,776,2011-04-12 12:47:00,2011-10-17 13:44:00,188,336.195
12464,1212.05,8,112,2011-02-03 13:30:00,2011-11-29 13:33:00,299,151.50625
12465,742.19,2,479,2011-06-23 13:37:00,2011-11-22 16:34:00,152,371.095
12466,56.73,1,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0,56.73
12467,132.8,1,129,2010-10-12 15:41:00,2010-10-12 15:41:00,0,132.8
12468,3670.7400000000002,5,2201,2010-01-26 10:09:00,2011-06-05 11:36:00,495,734.148
12469,3070.54,2,2552,2010-06-21 10:30:00,2010-07-05 12:40:00,14,1535.27
12470,211.95,1,95,2010-01-19 11:01:00,2010-01-19 11:01:00,0,211.95
12471,39918.19,79,16858,2009-12-07 10:41:00,2011-12-07 15:43:00,730,505.2935443037975
