Month,Revenue,Type,ARIMA_Forecast,Prophet_Forecast,Ensemble_Forecast
2009-12-01,683504.01,Actual,,,
2010-01-01,555802.672,Actual,,,
2010-02-01,504558.956,Actual,,,
2010-03-01,696978.471,Actual,,,
2010-04-01,591982.002,Actual,,,
2010-05-01,597833.38,Actual,,,
2010-06-01,636371.13,Actual,,,
2010-07-01,589736.17,Actual,,,
2010-08-01,602224.6,Actual,,,
2010-09-01,829013.951,Actual,,,
2010-10-01,1033112.01,Actual,,,
2010-11-01,1166460.022,Actual,,,
2010-12-01,570422.73,Actual,,,
2011-01-01,568101.31,Actual,,,
2011-02-01,446084.92,Actual,,,
2011-03-01,594081.76,Actual,,,
2011-04-01,468374.331,Actual,,,
2011-05-01,677355.15,Actual,,,
2011-06-01,660046.05,Actual,,,
2011-07-01,598962.901,Actual,,,
2011-08-01,644051.04,Actual,,,
2011-09-01,950690.202,Actual,,,
2011-10-01,1035642.45,Actual,,,
2011-11-01,1156205.61,Actual,,,
2011-12-01,517208.44,Actual,,,
2012-01-01,,Forecast,517208.43999999994,656828.1642950411,587018.3021475205
2012-02-01,,Forecast,517208.43999999994,440305.2288616743,478756.83443083713
2012-03-01,,Forecast,517208.43999999994,657703.3649865093,587455.9024932546
2012-04-01,,Forecast,517208.43999999994,681520.462446387,599364.4512231934
2012-05-01,,Forecast,517208.43999999994,367839.84044375445,442524.1402218772
2012-06-01,,Forecast,517208.43999999994,560034.2261764952,538621.3330882476
